@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
16,7,1,1,0,0,216,1,97,East,East
17,7,1,1,0,0,215,1,196,East,East
18,7,1,1,0,0,214,1,295,East,East
19,7,1,1,0,0,213,1,394,East,East
20,7,1,1,0,0,212,1,493,East,East
21,7,1,1,0,1,211,1,592,East,East
22,7,1,1,1,0,210,1,691,East,East
23,7,1,1,0,0,209,1,790,East,East
24,7,1,1,0,0,208,1,889,East,East
25,7,1,1,0,0,207,1,988,East,East
26,7,1,1,0,0,206,1,1087,East,East
27,7,1,1,0,0,205,1,1186,East,East
28,7,1,1,0,0,204,1,1285,East,East
29,7,1,0,0,1,203,1,1384,East,South
29,6,0,0,1,1,202,1,1483,South,South
29,5,0,0,1,1,201,1,1582,South,South
29,4,0,0,1,1,200,1,1681,South,South
29,3,1,0,1,1,199,1,1780,South,South
29,2,0,0,1,1,198,1,2079,South,South
29,1,1,0,1,0,197,1,2178,South,North
29,2,0,0,1,1,197,2,2177,North,North
29,3,1,0,1,1,197,1,2176,North,North
29,4,0,0,1,1,197,2,2175,North,North
29,5,0,0,1,1,197,3,2174,North,North
29,6,0,0,1,1,197,4,2173,North,North
29,7,1,0,0,1,197,4,2172,North,West
28,7,1,1,0,0,197,3,2171,West,West
27,7,1,1,0,0,197,3,2170,West,West
26,7,1,1,0,0,197,3,2169,West,West
25,7,1,1,0,0,197,3,2168,West,West
24,7,1,1,0,0,197,2,2167,West,West
23,7,1,1,0,0,197,2,2166,West,West
22,7,1,1,1,0,197,1,2165,West,North
22,8,0,0,1,1,196,1,2264,North,North
22,9,1,1,0,1,195,1,2363,North,East
23,9,1,1,0,0,194,1,2462,East,East
24,9,1,0,1,0,193,1,2561,East,North
24,10,0,1,1,1,192,1,2660,North,North
24,11,1,0,1,1,191,1,2759,North,North
24,12,0,0,1,1,190,1,2858,North,North
24,13,0,0,1,1,189,1,2957,North,North
24,14,0,0,1,1,188,1,3056,North,North
24,15,0,1,0,1,187,1,3155,North,East
25,15,1,1,0,0,186,1,3254,East,East
26,15,1,1,0,0,185,1,3353,East,East
27,15,1,1,0,0,184,1,3452,East,East
28,15,1,1,0,0,183,1,3551,East,East
29,15,1,0,1,1,182,1,3650,East,North
29,16,0,0,1,1,181,2,3749,North,North
29,17,1,0,0,1,181,1,3748,North,West
28,17,1,1,0,0,180,1,3847,West,West
27,17,1,1,0,0,179,1,4146,West,West
26,17,1,1,0,0,178,1,4245,West,West
25,17,1,1,0,0,177,1,4344,West,West
24,17,1,1,0,0,176,1,4443,West,West
23,17,1,1,0,0,175,2,4542,West,West
22,17,1,1,0,0,175,1,4541,West,West
21,17,1,1,0,0,174,1,4640,West,West
